album_release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,explicit,track_name,external_urls.spotify,album_name,key_name,mode_name,key_mode
2019,0.588,0.793,7,-6.23,1,0.0794,0.466,0.000647,0.913,0.694,76.997,112239,FALSE,Every Hour,https://open.spotify.com/track/1WnqWQcWcuQbVzgE7ecfCY,JESUS IS KING,G,major,G major
2019,0.482,0.618,9,-5.673,0,0.197,0.647,0.000859,0.32,0.146,90.076,164619,FALSE,Selah,https://open.spotify.com/track/39JRmdKFka1Oe09FoOCPI4,JESUS IS KING,A,minor,A minor
2019,0.529,0.9,1,-3.503,1,0.418,0.000248,1.21E-05,0.0426,0.434,180.291,104591,FALSE,Follow God,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h,JESUS IS KING,C#,major,C# major
2019,0.799,0.291,11,-7.353,0,0.0318,0.873,0.000641,0.139,0.406,97.984,151873,FALSE,Closed On Sunday,https://open.spotify.com/track/3JWiDGQX2eTlFvKj3Yssj3,JESUS IS KING,B,minor,B minor
2019,0.41,0.886,9,-4.413,0,0.155,0.0671,0,0.461,0.393,72.577,136350,FALSE,On God,https://open.spotify.com/track/2SasoXZyv82yYgHiVOvxQn,JESUS IS KING,A,minor,A minor
2019,0.894,0.416,9,-6.823,0,0.0538,0.312,0,0.146,0.463,116.96,116559,FALSE,Everything We Need,https://open.spotify.com/track/24bnCCysWnbNRNUT4LpHcP,JESUS IS KING,A,minor,A minor
2019,0.505,0.281,2,-12.404,1,0.1,0.57,0.000254,0.163,0.283,82.338,168419,FALSE,Water,https://open.spotify.com/track/454Epa1vrCGFddHXKyC1kb,JESUS IS KING,D,major,D major
2019,0.649,0.634,1,-4.394,1,0.0254,0.17,0,0.195,0.221,105.051,203141,FALSE,God Is,https://open.spotify.com/track/6xRWoYwfwIKnT8bQGzKbxR,JESUS IS KING,C#,major,C# major
2019,0.514,0.393,1,-8.72,0,0.529,0.558,0,0.282,0.598,78.039,203174,FALSE,Hands On,https://open.spotify.com/track/7r6aR2f57resC5r93LwMfK,JESUS IS KING,C#,minor,C# minor
2019,0.611,0.459,0,-3.926,0,0.0422,0.614,0,0.126,0.177,148.28,213877,FALSE,Use This Gospel,https://open.spotify.com/track/0oPOuDmmkVp3h6puekhs6P,JESUS IS KING,C,minor,C minor
2019,0.243,0.26,4,-5.876,0,0.0305,0.828,4.03E-05,0.532,0.327,76.61,49292,FALSE,Jesus Is Lord,https://open.spotify.com/track/7sBgFMWqDWQgrsNSpIBoe8,JESUS IS KING,E,minor,E minor
