City,State,CityState,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle,WA,"Seattle, WA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Nuys,CA,"Van Nuys, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dayton,IA,"Dayton, IA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterville,PA,"Waterville, PA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stone Mountain,GA,"Stone Mountain, GA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longmont,CO,"Longmont, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Llano,TX,"Llano, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rockford,IL,"Rockford, IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,MO,"St. Joseph, MO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danbury,CT,"Danbury, CT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beatty,OR,"Beatty, OR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden,MS,"Golden, MS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tullahoma,TN,"Tullahoma, TN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Arthur,TX,"Port Arthur, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orcutt,CA,"Orcutt, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phoenix,AZ,"Phoenix, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crawfordsville,IN,"Crawfordsville, IN",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cohasset,MA,"Cohasset, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clearwater,FL,"Clearwater, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rector,AR,"Rector, AR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakeland,FL,"Lakeland, FL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckeye,AZ,"Buckeye, AZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamogordo,NM,"Alamogordo, NM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Jose,CA,"San Jose, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
