"","Agency responsible for death"
"1","Riverside Police Department (CA)"
"2","Franklin County Sheriff's Office (NC)"
"3","Moses Lake Police Department (WA)"
"4","Kern County Sheriff's Office (CA)"
"5","Bakersfield Police Department (CA)"
"6","Troy Police Department (OH)"
"7","Boulder County Sheriff's Office (CO)"
"8","Alleghany County Sheriff's Office (NC)"
"9","St. Martin Parish Sheriff's Office (LA)"
"10","Ruston Police Departmen (LA)"
"11","Harrisburg Police Department (PA)"
"12","Prairie View Police Department (TX)"
"13","Florida Highway Patrol (FL)"
"14","Phoenix Police Department (AZ)"
"15","Oklahoma Highway Patrol (OK)"
"16","Cobb County Police Department (GA)"
"17","North Richland Hills Police Department (TX)"
"18","New York Police Department (NY)"
"19","Torrance Police Department (CA)"
"20","Grand Prairie Police Department (TX)"
"21","Corpus Christi Police Department (TX)"
"22","Pensacola Police Department (FL)"
"23","Pinal County Sheriff's Office (AZ)"
"24","Greenville Police Department (NC)"
"25","Custer County Sheriff's Department (OK)"
"26","Lititz Borough Police Department (PA)"
"27","San Antonio Police Department (TX)"
"28","Anderson Police Department (SC)"
"29","Phenix City Police Department (AL)"
"30","Indianapolis Metropolitan Police Department (IN)"
"31","Green Bay Police Department (WI)"
"32","Evanston Police Deparment (IL)"
"33","Maricopa County Sheriff's Office (AZ)"
"34","Mesa County Sheriff's Office (CO)"
"35","Honolulu Police Department (HI)"
"36","Milford Police Department (DE)"
"37","Los Angeles County Sheriff's Department (CA)"
"38","Arlington Heights Police Department (IL)"
"39","Farmington Police Department (CT)"
"40","Clark County Sheriff's Office (WI)"
"41","Los Angeles Police Department (CA)"
"42","Columbus Division of Police (OH)"
"43","Maine State Police Department (ME)"
"44","Wenatchee Police Department (WA)"
"45","St. John's County Sheriff's Department (FL)"
"46","Ross County Sheriff's Department (OH)"
"47","Miami-Dade Police Department (FL)"
"48","Santa Clara County Sheriff's Office (CA)"
"49","Monroeville Police Department (PA)"
"50","Pennsylvania State Police Department (PA)"
"51","Miami Police Department (FL)"
"52","Albuquerque Police Department (NM)"
"53","Tukwila Police Department (WA)"
"54","Boston Police Department (MA)"
"55","Las Vegas Metropolitan Police Department (NV)"
"56","Pine Bluff Police Department (AR)"
"57","University of the Incarnate Word Campus Police Department (TX)"
"58","Independence Police Department (MO)"
"59","Stockton Police Department (CA)"
"60","Selma Police Department (AL)"
"61","Perth Amboy Police Department (NJ)"
"62","Oklahoma County Sheriff's Office (OK)"
"63","DC Metropolitan Police Department (DC)"
"64","Des Moines Police Department (IA)"
"65","Pima County Sheriff's Department (AZ)"
"66","Etowah Police Department (TN)"
"67","Kansas City Police Department (MO)"
"68","Greene County Sheriff's Office (MO)"
"69","Okeechobee County Sheriff's Office (FL)"
"70","Asuza Police Department (CA)"
"71","Hays County SWAT (TX)"
"72","Seattle Police Department (WA)"
"73","Adams County Sheriff's Office (CO)"
"74","Brown County Sheriff's Department (IN)"
"75","Key West Police Department (FL)"
"76","San Jose Police Department (CA)"
"77","Oklahoma City Police Department (OK)"
"78","Madison County Detention Center (AL)"
"79","West Baton Rouge Parish Sheriff's Office (LA)"
"80","Orlando Police Department (FL)"
"81","Bridgeport Police Department (CT)"
"82","Riverside County Sheriff's Department (CA)"
"83","Boulder Police Department (CO)"
"84","South Gate Police Department (CA)"
"85","Fort Worth Police Department (TX)"
"86","Illinois Department of Natural Resources Conservation Police (IL)"
"87","Bend Police Department (OR)"
"88","Middlesex County Special Operations Response Team (NJ)"
"89","Putnam County Sheriff's Office (FL)"
"90","Middletown Police Department (NY)"
"91","Eugene Police Department (OR)"
"92","Sonoma County Sheriff's Office (CA)"
"93","Liberty University Police Department (VA)"
"94","Prescott Police Department (AZ)"
"95","San Bernardino County Sheriff's Department (CA)"
"96","Long Beach Police Department (CA)"
"97","Durham Police Department (NC)"
"98","Montgomery County Police Department (MD)"
"99","Palm Beach County Sheriff's Office (FL)"
"100","Rensselaer County Sheriff's Office (NY)"
"101","U.S. Border Patrol (CA)"
"102","Titusville Police Department (FL)"
"103","Kansas City KS Police Department (KS)"
"104","Hamilton Police Department (NJ)"
"105","Orono Police Department (MN)"
"106","Levelland Police Department (TX)"
"107","Little Rock Police Department (AR)"
"108","Hawthorne Police Department (CA)"
"109","Columbus GA Police Department (GA)"
"110","Navasota Police Department (TX)"
"111","Milwaukee Police Department (WI)"
"112","Westerville Division of Police (OH)"
"113","Irvington Police Department (NJ)"
"114","Elkhart Police Department (IN)"
"115","Kenner Police Department (LA)"
"116","New Mexico State Police (NM)"
"117","Burlington Police Department (VT)"
"118","Essex County Sheriff's Department (NJ)"
"119","Fresno County Sheriff's Office (CA)"
"120","Fairfield Police Department (CA)"
"121","Fort Bend County Sheriff's Office (TX)"
"122","Miami Gardens Police Department (FL)"
