"","week","things_to_do_inside_united_states","toilet_paper_united_states","banana_bread_united_states","unemployment_united_states","flight_cancellation_united_states","how_to_help_the_elderly_united_states","where_to_donate_united_states","i_cant_smell_united_states","can_landlords_evict_tenants_united_states","lysol_united_states","how_to_cut_your_own_hair_united_states","dog_coronavirus_united_states","wine_delivery_service_united_states","zoom_united_states","at_home_workout_united_states","can_i_see_my_boyfriend_during_social_distancing_united_states","contagion_united_states","work_from_home_united_states","delivery_united_states","buy_gun_united_states","hydroxychloroquine_united_states"
"1","2019-04-07",37,2,14,5,9,38,44,20,29,2,9,"<1",6,4,14,0,1,25,34,15,1
"2","2019-04-14",61,2,16,5,9,39,47,22,0,2,9,"<1",10,6,14,0,1,24,35,19,1
"3","2019-04-21",32,2,13,5,6,66,43,22,0,2,7,"<1",13,5,14,0,1,26,34,13,1
"4","2019-04-28",40,2,13,5,6,51,50,16,0,3,9,"<1",6,4,14,0,1,27,35,13,1
"5","2019-05-05",57,2,13,5,6,64,43,29,0,3,6,"<1",9,4,14,0,1,26,41,16,1
"6","2019-05-12",39,2,14,5,5,26,54,28,0,2,8,"<1",9,4,14,0,1,27,36,14,1
"7","2019-05-19",51,3,14,5,6,20,54,15,0,3,8,"<1",11,4,15,0,1,26,34,14,1
"8","2019-05-26",50,3,14,5,6,20,61,28,0,2,9,"<1",10,4,15,0,1,27,35,16,1
"9","2019-06-02",66,3,14,5,7,32,52,22,0,2,10,"<1",5,4,15,0,1,28,35,15,1
"10","2019-06-09",75,2,14,5,9,32,55,22,0,2,9,"<1",6,4,16,0,2,29,36,15,1
"11","2019-06-16",93,2,15,5,10,20,55,30,0,3,8,"<1",3,4,18,0,1,30,35,15,1
"12","2019-06-23",66,2,14,5,8,0,55,25,30,3,8,"0",7,5,18,0,1,29,36,16,1
"13","2019-06-30",69,2,15,5,7,27,59,21,0,3,10,"0",9,4,17,0,1,27,36,16,1
"14","2019-07-07",67,2,15,6,9,33,56,26,0,3,9,"<1",6,5,18,0,1,31,35,16,1
"15","2019-07-14",94,2,15,5,8,65,56,24,0,3,8,"0",9,5,16,0,2,30,36,15,1
"16","2019-07-21",64,2,15,5,7,14,57,25,0,3,8,"<1",7,5,15,0,1,30,36,14,1
"17","2019-07-28",54,2,15,5,6,20,58,19,0,3,9,"<1",7,4,15,0,1,31,37,15,1
"18","2019-08-04",49,2,15,5,7,13,60,23,0,3,9,"<1",9,4,14,0,1,30,36,29,1
"19","2019-08-11",61,2,16,5,7,32,54,29,0,3,8,"<1",9,5,15,0,1,31,35,20,1
"20","2019-08-18",45,2,17,5,7,26,55,38,0,3,8,"0",8,5,13,0,2,30,35,16,1
"21","2019-08-25",28,2,16,5,12,43,50,12,0,3,7,"<1",4,4,12,0,1,28,33,14,1
"22","2019-09-01",36,2,17,5,8,12,65,26,0,3,8,"<1",11,4,11,0,1,26,33,18,1
"23","2019-09-08",29,2,16,5,5,36,53,27,27,3,7,"<1",8,5,12,0,2,28,33,16,1
"24","2019-09-15",26,2,16,5,5,29,45,30,0,3,7,"<1",8,4,12,0,2,29,33,17,1
"25","2019-09-22",26,2,16,5,5,30,45,20,0,3,7,"<1",4,4,11,0,2,28,34,15,1
"26","2019-09-29",38,3,17,5,5,42,43,26,0,3,6,"<1",6,4,12,0,1,28,34,14,1
"27","2019-10-06",39,2,16,5,5,30,45,14,0,3,8,"<1",6,4,10,0,1,27,33,15,1
"28","2019-10-13",45,2,17,5,5,36,45,22,27,3,9,"0",9,4,11,0,1,28,34,14,1
"29","2019-10-20",43,3,17,5,5,59,47,30,0,3,7,"0",11,4,11,0,1,28,34,15,1
"30","2019-10-27",39,3,16,5,6,30,59,27,0,2,7,"<1",5,4,11,0,2,26,35,15,1
"31","2019-11-03",40,2,17,5,6,35,54,12,0,3,8,"<1",8,4,12,0,1,29,35,17,1
"32","2019-11-10",47,2,18,5,5,46,54,28,26,3,8,"<1",9,5,11,0,1,27,36,17,1
"33","2019-11-17",33,3,17,6,5,58,68,28,0,3,7,"<1",13,5,13,0,1,26,34,20,1
