Category: All categories

Week,unemployment: (United States)
2019-04-07,5
2019-04-14,5
2019-04-21,5
2019-04-28,5
2019-05-05,5
2019-05-12,5
2019-05-19,5
2019-05-26,5
2019-06-02,5
2019-06-09,5
2019-06-16,5
2019-06-23,5
2019-06-30,5
2019-07-07,6
2019-07-14,5
2019-07-21,5
2019-07-28,5
2019-08-04,5
2019-08-11,5
2019-08-18,5
2019-08-25,5
2019-09-01,5
2019-09-08,5
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,5
2019-10-13,5
2019-10-20,5
2019-10-27,5
2019-11-03,5
2019-11-10,5
2019-11-17,6
2019-11-24,4
2019-12-01,6
2019-12-08,6
2019-12-15,6
2019-12-22,5
2019-12-29,6
2020-01-05,7
2020-01-12,7
2020-01-19,7
2020-01-26,7
2020-02-02,7
2020-02-09,6
2020-02-16,6
2020-02-23,6
2020-03-01,5
2020-03-08,7
2020-03-15,54
2020-03-22,100
2020-03-29,100
