Category: All categories

Week,flight cancellation: (United States)
2019-04-07,9
2019-04-14,9
2019-04-21,6
2019-04-28,6
2019-05-05,6
2019-05-12,5
2019-05-19,6
2019-05-26,6
2019-06-02,7
2019-06-09,9
2019-06-16,10
2019-06-23,8
2019-06-30,7
2019-07-07,9
2019-07-14,8
2019-07-21,7
2019-07-28,6
2019-08-04,7
2019-08-11,7
2019-08-18,7
2019-08-25,12
2019-09-01,8
2019-09-08,5
2019-09-15,5
2019-09-22,5
2019-09-29,5
2019-10-06,5
2019-10-13,5
2019-10-20,5
2019-10-27,6
2019-11-03,6
2019-11-10,5
2019-11-17,5
2019-11-24,8
2019-12-01,8
2019-12-08,4
2019-12-15,5
2019-12-22,5
2019-12-29,6
2020-01-05,6
2020-01-12,7
2020-01-19,6
2020-01-26,9
2020-02-02,10
2020-02-09,7
2020-02-16,6
2020-02-23,16
2020-03-01,36
2020-03-08,100
2020-03-15,68
2020-03-22,21
2020-03-29,15
