Category: All categories

Week,where to donate: (United States)
2019-04-07,44
2019-04-14,47
2019-04-21,43
2019-04-28,50
2019-05-05,43
2019-05-12,54
2019-05-19,54
2019-05-26,61
2019-06-02,52
2019-06-09,55
2019-06-16,55
2019-06-23,55
2019-06-30,59
2019-07-07,56
2019-07-14,56
2019-07-21,57
2019-07-28,58
2019-08-04,60
2019-08-11,54
2019-08-18,55
2019-08-25,50
2019-09-01,65
2019-09-08,53
2019-09-15,45
2019-09-22,45
2019-09-29,43
2019-10-06,45
2019-10-13,45
2019-10-20,47
2019-10-27,59
2019-11-03,54
2019-11-10,54
2019-11-17,68
2019-11-24,59
2019-12-01,63
2019-12-08,59
2019-12-15,56
2019-12-22,60
2019-12-29,74
2020-01-05,88
2020-01-12,68
2020-01-19,59
2020-01-26,53
2020-02-02,45
2020-02-09,43
2020-02-16,50
2020-02-23,49
2020-03-01,51
2020-03-08,46
2020-03-15,84
2020-03-22,100
2020-03-29,79
