Category: All categories

Week,zoom: (United States)
2019-04-07,4
2019-04-14,6
2019-04-21,5
2019-04-28,4
2019-05-05,4
2019-05-12,4
2019-05-19,4
2019-05-26,4
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,5
2019-06-30,4
2019-07-07,5
2019-07-14,5
2019-07-21,5
2019-07-28,4
2019-08-04,4
2019-08-11,5
2019-08-18,5
2019-08-25,4
2019-09-01,4
2019-09-08,5
2019-09-15,4
2019-09-22,4
2019-09-29,4
2019-10-06,4
2019-10-13,4
2019-10-20,4
2019-10-27,4
2019-11-03,4
2019-11-10,5
2019-11-17,5
2019-11-24,4
2019-12-01,5
2019-12-08,5
2019-12-15,5
2019-12-22,4
2019-12-29,4
2020-01-05,5
2020-01-12,5
2020-01-19,5
2020-01-26,5
2020-02-02,5
2020-02-09,5
2020-02-16,5
2020-02-23,6
2020-03-01,6
2020-03-08,14
2020-03-15,52
2020-03-22,98
2020-03-29,100
