Category: All categories

Week,contagion: (United States)
2019-04-07,1
2019-04-14,1
2019-04-21,1
2019-04-28,1
2019-05-05,1
2019-05-12,1
2019-05-19,1
2019-05-26,1
2019-06-02,1
2019-06-09,2
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,2
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,2
2019-08-25,1
2019-09-01,1
2019-09-08,2
2019-09-15,2
2019-09-22,2
2019-09-29,1
2019-10-06,1
2019-10-13,1
2019-10-20,1
2019-10-27,2
2019-11-03,1
2019-11-10,1
2019-11-17,1
2019-11-24,1
2019-12-01,1
2019-12-08,1
2019-12-15,1
2019-12-22,1
2019-12-29,1
2020-01-05,1
2020-01-12,1
2020-01-19,7
2020-01-26,15
2020-02-02,8
2020-02-09,5
2020-02-16,5
2020-02-23,10
2020-03-01,17
2020-03-08,62
2020-03-15,100
2020-03-22,66
2020-03-29,52
