"","X1","Textbox87","Textbox82","nat_definition4","region_name_3","textbox37","Category3","textbox39","Assur_DestinationCity1","Cases3","Cases4"
"1",61309,"From: 01 Jan 2002","To: 31 Dec 2002","Afghanistan",2002,2026,"Alabama",10,"Mobile",10,30289
"2",110327,"From: 01 Jan 2003","To: 31 Dec 2003","Afghanistan",2003,1370,"Alabama",5,"Mobile",5,32235
"3",73698,"From: 01 Jan 2004","To: 31 Dec 2004","Afghanistan",2004,836,"Arizona",52,"Glendale",3,56342
"4",79953,"From: 01 Jan 2005","To: 31 Dec 2005","Afghanistan",2005,876,"Arizona",142,"Gilbert",3,51897
"5",91056,"From: 01 Jan 2006","To: 31 Dec 2006","Afghanistan",2006,633,"Arizona",85,"Glendale",4,39552
"6",85637,"From: 01 Jan 2007","To: 31 Dec 2007","Afghanistan",2007,413,"Arizona",22,"Glendale",1,47753
"7",43515,"From: 01 Jan 2008","To: 31 Dec 2008","Afghanistan",2008,611,"Arizona",81,"Phoenix",52,64733
"8",49607,"From: 01 Jan 2009","To: 31 Dec 2009","Afghanistan",2009,338,"Alabama",5,"Mobile",5,79942
"9",96666,"From: 01 Jan 2010","To: 31 Dec 2010","Afghanistan",2010,527,"Alabama",8,"Mobile",8,71361
"10",101804,"From: 01 Jan 2011","To: 31 Dec 2011","Afghanistan",2011,392,"Alabama",5,"Mobile",5,51458
"11",7406,"From: 01 Jan 2012","To: 31 Dec 2012","Afghanistan",2012,578,"Alabama",7,"Mobile",7,66292
"12",22960,"From: 01 Jan 2013","To: 31 Dec 2013","Afghanistan",2013,678,"Alabama",9,"Mobile",9,66066
"13",28605,"From: 01 Jan 2014","To: 31 Dec 2014","Afghanistan",2014,696,"Alabama",1,"Mobile",1,72820
"14",55565,"From: 01 Jan 2015","To: 31 Dec 2015","Afghanistan",2015,1168,"Arizona",37,"Glendale",9,66517
"15",13512,"From: 01 Jan 2016","To: 31 Dec 2016","Afghanistan",2016,2930,"Alabama",9,"Mobile",9,96874
"16",2382,"From: 01 Jan 2017","To: 31 Dec 2017","Afghanistan",2017,806,"Alabama",9,"Mobile",9,33368
"17",18573,"From: 01 Jan 2018","To: 31 Dec 2018","Afghanistan",2018,839,"Arizona",85,"Glendale",32,22874
"18",33142,"From: 01 Jan 2019","To: 31 Dec 2019","Afghanistan",2019,1364,"Arizona",97,"Glendale",42,27514
"19",58409,"From: 01 Jan 2002","To: 31 Dec 2002","Alabama",2002,39,"Afghanistan",10,"Mobile",10,30289
"20",107255,"From: 01 Jan 2003","To: 31 Dec 2003","Alabama",2003,51,"Afghanistan",5,"Mobile",5,32235
"21",70433,"From: 01 Jan 2004","To: 31 Dec 2004","Alabama",2004,82,"Bosnia and Herzegovina",1,"Mobile",1,56342
"22",76961,"From: 01 Jan 2005","To: 31 Dec 2005","Alabama",2005,99,"Cuba",6,"Ashland",1,51897
"23",88329,"From: 01 Jan 2006","To: 31 Dec 2006","Alabama",2006,56,"Cuba",3,"Mobile",3,39552
"24",82943,"From: 01 Jan 2007","To: 31 Dec 2007","Alabama",2007,137,"Burma",7,"Mobile",6,47753
"25",40535,"From: 01 Jan 2008","To: 31 Dec 2008","Alabama",2008,165,"Burma",4,"Birmingham",2,64733
"26",46493,"From: 01 Jan 2009","To: 31 Dec 2009","Alabama",2009,211,"Afghanistan",5,"Mobile",5,79942
"27",93781,"From: 01 Jan 2010","To: 31 Dec 2010","Alabama",2010,153,"Afghanistan",8,"Mobile",8,71361
"28",99549,"From: 01 Jan 2011","To: 31 Dec 2011","Alabama",2011,86,"Afghanistan",5,"Mobile",5,51458
"29",4761,"From: 01 Jan 2012","To: 31 Dec 2012","Alabama",2012,149,"Afghanistan",7,"Mobile",7,66292
"30",20171,"From: 01 Jan 2013","To: 31 Dec 2013","Alabama",2013,122,"Afghanistan",9,"Mobile",9,66066
"31",25747,"From: 01 Jan 2014","To: 31 Dec 2014","Alabama",2014,116,"Afghanistan",1,"Mobile",1,72820
"32",52719,"From: 01 Jan 2015","To: 31 Dec 2015","Alabama",2015,97,"Burma",14,"Birmingham",1,66517
"33",10049,"From: 01 Jan 2016","To: 31 Dec 2016","Alabama",2016,120,"Afghanistan",9,"Mobile",9,96874
"34",1,"From: 01 Jan 2017","To: 31 Dec 2017","Alabama",2017,50,"Afghanistan",9,"Mobile",9,33368
"35",16973,"From: 01 Jan 2018","To: 31 Dec 2018","Alabama",2018,35,"Burma",1,"Birmingham",1,22874
